EmpId,Date,Present,IsManual,InTime,OutTime,InDiff,OutDiff,IsLate,EarlyDeparture,MachineNo,IPAddress
E0001,2025-01-01,True,False,10:30:46,19:36:12,0.77,-23.8,True,True,M01,192.168.1.10
E0002,2025-01-01,True,False,10:41:24,20:08:55,11.4,8.92,True,False,M02,192.168.1.15
E0003,2025-01-01,False,,,,,,,,,
E0004,2025-01-01,True,False,10:32:47,19:47:10,2.78,-12.83,True,True,M03,192.168.1.20
E0005,2025-01-01,True,False,10:30:47,19:42:42,0.78,-17.3,True,True,M03,192.168.1.20
E0006,2025-01-01,True,False,10:43:49,20:20:40,13.82,20.67,True,False,M01,192.168.1.10
E0007,2025-01-01,True,False,10:29:14,19:48:08,-0.77,-11.87,False,True,M01,192.168.1.10
E0008,2025-01-01,True,True,10:30:00,20:00:00,0.0,0.0,False,False,M01,192.168.1.10
E0009,2025-01-01,True,False,10:22:21,,-7.65,,False,,M02,192.168.1.15
E0010,2025-01-01,True,False,10:11:51,16:42:40,-18.15,-197.33,False,True,M03,192.168.1.20
E0011,2025-01-01,True,False,10:34:13,19:59:06,4.22,-0.9,True,True,M02,192.168.1.15
E0012,2025-01-01,True,False,10:37:12,19:34:10,7.2,-25.83,True,True,M01,192.168.1.10
E0013,2025-01-01,True,False,10:26:09,19:45:45,-3.85,-14.25,False,True,M01,192.168.1.10
E0014,2025-01-01,True,False,10:42:39,20:13:37,12.65,13.62,True,False,M02,192.168.1.15
E0015,2025-01-01,True,False,10:35:40,20:00:32,5.67,0.53,True,False,M02,192.168.1.15
E0016,2025-01-01,True,False,10:29:03,19:56:37,-0.95,-3.38,False,True,M02,192.168.1.15
E0017,2025-01-01,True,False,10:15:37,20:03:57,-14.38,3.95,False,False,M01,192.168.1.10
E0018,2025-01-01,True,False,10:34:40,19:38:28,4.67,-21.53,True,True,M03,192.168.1.20
E0019,2025-01-01,True,False,10:35:26,19:56:04,5.43,-3.93,True,True,M02,192.168.1.15
E0020,2025-01-01,True,False,10:28:41,19:41:57,-1.32,-18.05,False,True,M03,192.168.1.20
E0021,2025-01-01,True,False,10:47:14,20:14:44,17.23,14.73,True,False,M01,192.168.1.10
E0022,2025-01-01,True,False,10:27:43,20:10:00,-2.28,10.0,False,False,M03,192.168.1.20
E0023,2025-01-01,True,False,10:20:10,19:59:28,-9.83,-0.53,False,True,M01,192.168.1.10
E0024,2025-01-01,True,False,10:24:28,19:42:51,-5.53,-17.15,False,True,M03,192.168.1.20
E0025,2025-01-01,True,False,10:38:03,19:52:23,8.05,-7.62,True,True,M02,192.168.1.15
E0026,2025-01-01,True,False,10:25:13,20:02:46,-4.78,2.77,False,False,M02,192.168.1.15
E0027,2025-01-01,True,False,10:26:08,19:35:31,-3.87,-24.48,False,True,M03,192.168.1.20
E0028,2025-01-01,True,False,10:19:56,20:12:05,-10.07,12.08,False,False,M03,192.168.1.20
E0029,2025-01-01,True,False,10:38:03,20:11:39,8.05,11.65,True,False,M01,192.168.1.10
E0030,2025-01-01,True,False,10:17:35,20:05:22,-12.42,5.37,False,False,M01,192.168.1.10
E0031,2025-01-01,True,False,10:31:05,19:52:04,1.08,-7.93,True,True,M02,192.168.1.15
E0032,2025-01-01,True,False,10:15:46,20:08:58,-14.23,8.97,False,False,M03,192.168.1.20
E0033,2025-01-01,True,False,10:33:05,19:45:13,3.08,-14.78,True,True,M01,192.168.1.10
E0034,2025-01-01,True,False,10:43:41,20:01:35,13.68,1.58,True,False,M03,192.168.1.20
E0035,2025-01-01,True,False,10:33:17,,3.28,,True,,M02,192.168.1.15
E0036,2025-01-01,True,False,10:38:02,20:22:46,8.03,22.77,True,False,M01,192.168.1.10
E0037,2025-01-01,True,False,10:42:36,20:13:05,12.6,13.08,True,False,M03,192.168.1.20
E0038,2025-01-01,True,False,10:28:52,19:34:25,-1.13,-25.58,False,True,M03,192.168.1.20
E0039,2025-01-01,True,False,10:34:55,19:33:54,4.92,-26.1,True,True,M01,192.168.1.10
E0040,2025-01-01,True,False,10:44:05,20:16:00,14.08,16.0,True,False,M01,192.168.1.10
E0041,2025-01-01,True,False,10:29:24,19:47:09,-0.6,-12.85,False,True,M02,192.168.1.15
E0042,2025-01-01,True,False,10:28:23,20:05:56,-1.62,5.93,False,False,M01,192.168.1.10
E0043,2025-01-01,True,False,10:31:44,20:00:55,1.73,0.92,True,False,M01,192.168.1.10
E0044,2025-01-01,True,False,10:10:27,20:06:28,-19.55,6.47,False,False,M01,192.168.1.10
E0045,2025-01-01,True,False,10:24:17,19:36:32,-5.72,-23.47,False,True,M03,192.168.1.20
E0046,2025-01-01,True,False,10:41:56,20:09:13,11.93,9.22,True,False,M01,192.168.1.10
E0047,2025-01-01,True,False,10:36:06,19:42:17,6.1,-17.72,True,True,M01,192.168.1.10
E0048,2025-01-01,True,False,10:22:10,20:00:33,-7.83,0.55,False,False,M02,192.168.1.15
E0049,2025-01-01,True,False,10:34:34,20:13:34,4.57,13.57,True,False,M01,192.168.1.10
E0050,2025-01-01,True,False,10:27:26,19:52:02,-2.57,-7.97,False,True,M01,192.168.1.10
E0051,2025-01-01,True,False,10:32:15,19:52:16,2.25,-7.73,True,True,M02,192.168.1.15
E0052,2025-01-01,False,,,,,,,,,
E0053,2025-01-01,True,False,10:31:45,19:56:04,1.75,-3.93,True,True,M01,192.168.1.10
E0054,2025-01-01,True,False,10:36:30,19:59:10,6.5,-0.83,True,True,M01,192.168.1.10
E0055,2025-01-01,True,False,10:23:02,19:33:16,-6.97,-26.73,False,True,M03,192.168.1.20
E0056,2025-01-01,True,False,10:20:45,20:10:16,-9.25,10.27,False,False,M02,192.168.1.15
E0057,2025-01-01,True,False,10:40:44,20:11:07,10.73,11.12,True,False,M01,192.168.1.10
E0058,2025-01-01,True,False,10:31:42,20:05:09,1.7,5.15,True,False,M03,192.168.1.20
E0059,2025-01-01,True,False,10:31:29,19:46:53,1.48,-13.12,True,True,M02,192.168.1.15
E0060,2025-01-01,True,False,10:37:46,20:26:06,7.77,26.1,True,False,M01,192.168.1.10
E0061,2025-01-01,True,False,10:24:59,19:45:03,-5.02,-14.95,False,True,M03,192.168.1.20
E0062,2025-01-01,True,False,10:29:22,19:58:36,-0.63,-1.4,False,True,M03,192.168.1.20
E0063,2025-01-01,True,False,10:17:34,20:04:50,-12.43,4.83,False,False,M01,192.168.1.10
E0064,2025-01-01,True,False,10:28:39,19:55:11,-1.35,-4.82,False,True,M01,192.168.1.10
E0065,2025-01-01,True,False,10:20:21,20:13:00,-9.65,13.0,False,False,M02,192.168.1.15
E0066,2025-01-01,True,False,10:49:31,20:04:31,19.52,4.52,True,False,M01,192.168.1.10
E0067,2025-01-01,True,False,10:23:19,19:52:58,-6.68,-7.03,False,True,M03,192.168.1.20
E0068,2025-01-01,True,False,10:39:53,20:15:13,9.88,15.22,True,False,M03,192.168.1.20
E0069,2025-01-01,True,False,10:28:06,20:09:30,-1.9,9.5,False,False,M01,192.168.1.10
E0070,2025-01-01,True,False,10:44:29,20:05:41,14.48,5.68,True,False,M03,192.168.1.20
E0071,2025-01-01,True,False,10:17:51,20:05:24,-12.15,5.4,False,False,M03,192.168.1.20
E0072,2025-01-01,True,False,10:41:07,20:16:38,11.12,16.63,True,False,M02,192.168.1.15
E0073,2025-01-01,True,False,10:27:13,20:06:43,-2.78,6.72,False,False,M02,192.168.1.15
E0074,2025-01-01,True,False,10:33:19,19:55:33,3.32,-4.45,True,True,M02,192.168.1.15
E0075,2025-01-01,True,False,10:31:13,19:44:01,1.22,-15.98,True,True,M01,192.168.1.10
E0076,2025-01-01,True,False,10:31:30,19:46:42,1.5,-13.3,True,True,M01,192.168.1.10
E0077,2025-01-01,True,False,10:43:57,20:24:07,13.95,24.12,True,False,M01,192.168.1.10
E0078,2025-01-01,True,False,10:34:51,19:48:38,4.85,-11.37,True,True,M02,192.168.1.15
E0079,2025-01-01,True,False,10:35:34,20:01:14,5.57,1.23,True,False,M02,192.168.1.15
E0080,2025-01-01,True,False,10:30:37,20:23:51,0.62,23.85,True,False,M01,192.168.1.10
E0081,2025-01-01,True,False,10:34:26,19:57:17,4.43,-2.72,True,True,M02,192.168.1.15
E0082,2025-01-01,True,False,10:28:20,19:41:39,-1.67,-18.35,False,True,M03,192.168.1.20
E0083,2025-01-01,True,False,10:29:07,19:37:19,-0.88,-22.68,False,True,M03,192.168.1.20
E0084,2025-01-01,True,False,10:17:08,20:02:57,-12.87,2.95,False,False,M02,192.168.1.15
E0085,2025-01-01,True,False,10:19:49,20:03:58,-10.18,3.97,False,False,M02,192.168.1.15
E0086,2025-01-01,True,False,10:18:59,19:58:16,-11.02,-1.73,False,True,M03,192.168.1.20
E0087,2025-01-01,True,False,10:29:01,19:42:25,-0.98,-17.58,False,True,M01,192.168.1.10
E0088,2025-01-01,True,False,10:38:09,20:06:16,8.15,6.27,True,False,M02,192.168.1.15
E0089,2025-01-01,True,False,10:32:00,20:08:01,2.0,8.02,True,False,M01,192.168.1.10
E0090,2025-01-01,True,False,10:34:20,20:10:37,4.33,10.62,True,False,M01,192.168.1.10
E0091,2025-01-01,True,False,10:16:44,20:11:32,-13.27,11.53,False,False,M01,192.168.1.10
E0092,2025-01-01,True,False,10:33:13,19:37:58,3.22,-22.03,True,True,M03,192.168.1.20
E0093,2025-01-01,True,False,10:37:10,20:15:47,7.17,15.78,True,False,M01,192.168.1.10
E0094,2025-01-01,True,False,10:22:09,18:21:20,-7.85,-98.67,False,True,M02,192.168.1.15
E0095,2025-01-01,True,False,10:17:37,20:07:52,-12.38,7.87,False,False,M03,192.168.1.20
E0096,2025-01-01,True,False,10:30:19,19:39:42,0.32,-20.3,True,True,M03,192.168.1.20
E0097,2025-01-01,True,False,10:37:49,19:32:32,7.82,-27.47,True,True,M03,192.168.1.20
E0098,2025-01-01,True,False,10:32:57,20:07:42,2.95,7.7,True,False,M01,192.168.1.10
E0099,2025-01-01,True,False,10:31:31,16:20:58,1.52,-219.03,True,True,M03,192.168.1.20
E0100,2025-01-01,True,False,10:31:26,19:42:35,1.43,-17.42,True,True,M02,192.168.1.15
E0001,2025-01-02,False,,,,,,,,,
E0002,2025-01-02,True,False,10:33:24,19:48:44,3.4,-11.27,True,True,M02,192.168.1.15
E0003,2025-01-02,True,False,10:43:48,20:19:14,13.8,19.23,True,False,M02,192.168.1.15
E0004,2025-01-02,False,,,,,,,,,
E0005,2025-01-02,True,False,10:23:31,19:41:44,-6.48,-18.27,False,True,M03,192.168.1.20
E0006,2025-01-02,True,False,10:24:08,19:50:16,-5.87,-9.73,False,True,M01,192.168.1.10
E0007,2025-01-02,True,False,10:27:03,19:34:57,-2.95,-25.05,False,True,M01,192.168.1.10
E0008,2025-01-02,False,,,,,,,,,
E0009,2025-01-02,True,False,10:22:29,17:26:12,-7.52,-153.8,False,True,M02,192.168.1.15
E0010,2025-01-02,True,False,10:22:50,20:07:27,-7.17,7.45,False,False,M03,192.168.1.20
E0011,2025-01-02,True,False,10:19:54,20:04:47,-10.1,4.78,False,False,M02,192.168.1.15
E0012,2025-01-02,True,False,10:33:25,19:55:05,3.42,-4.92,True,True,M01,192.168.1.10
E0013,2025-01-02,True,False,10:40:20,19:52:14,10.33,-7.77,True,True,M01,192.168.1.10
E0014,2025-01-02,True,False,10:41:52,20:13:52,11.87,13.87,True,False,M02,192.168.1.15
E0015,2025-01-02,True,False,10:25:11,19:39:26,-4.82,-20.57,False,True,M02,192.168.1.15
E0016,2025-01-02,True,False,10:48:16,20:15:50,18.27,15.83,True,False,M02,192.168.1.15
E0017,2025-01-02,True,False,10:33:30,19:52:31,3.5,-7.48,True,True,M01,192.168.1.10
E0018,2025-01-02,True,False,10:32:22,19:56:25,2.37,-3.58,True,True,M03,192.168.1.20
E0019,2025-01-02,True,False,10:25:32,19:35:51,-4.47,-24.15,False,True,M02,192.168.1.15
E0020,2025-01-02,True,False,10:21:57,20:03:21,-8.05,3.35,False,False,M03,192.168.1.20
E0021,2025-01-02,True,False,10:25:09,19:35:16,-4.85,-24.73,False,True,M01,192.168.1.10
E0022,2025-01-02,True,False,10:31:44,19:46:09,1.73,-13.85,True,True,M03,192.168.1.20
E0023,2025-01-02,True,False,10:23:16,,-6.73,,False,,M01,192.168.1.10
E0024,2025-01-02,True,False,10:37:07,20:18:22,7.12,18.37,True,False,M03,192.168.1.20
E0025,2025-01-02,True,False,10:36:11,20:03:48,6.18,3.8,True,False,M02,192.168.1.15
E0026,2025-01-02,True,False,10:34:14,,4.23,,True,,M02,192.168.1.15
